name,where:name,start,stop,lat,lon
GYMNASE EVERBECQ,Morsang Sur Orge,2020-04-07T13:00:00CET,2020-04-07T17:00:00CET,48.660961,2.353482
Complexe Multisports,Biganos,2020-04-07T14:00:00CET,2020-04-07T17:30:00CET,44.638966,-0.973813
MAISON POUR TOUS,SAINT GENIES DES MOURGUES,2020-04-07T10:00:00CET,2020-04-07T16:00:00CET,43.697029,4.031013
Gymnase Desautel,Marseille,2020-04-03T13:00:00CET,2020-04-03T17:30:00CET,43.254948,5.405006
CITE ADMINISTRATIVE,Montlucon,2020-04-06T10:30:00CET,2020-04-06T13:30:00CET,46.343731,2.605246
Salle des Fêtes - collecte uniquement sur RDV,EVRECY,2020-04-02T16:00:00CET,2020-04-02T19:00:00CET,49.09901,-0.502835
Salle Mozart,Lisieux,2020-04-06T14:30:00CET,2020-04-06T19:00:00CET,49.143814,0.25414
SAINT CLOUD,Saint Cloud,2020-04-01T12:00:00CET,2020-04-01T17:00:00CET,48.840004,2.219071
MON SANG POUR LES AUTRES,Tours,2020-04-03T13:00:00CET,2020-04-03T19:00:00CET,47.388329,0.669557
Salle de l'union,Maiche,2020-04-03T15:30:00CET,2020-04-03T19:30:00CET,47.249962,6.799277
SALLE  ARMOR,Exclusivement sur RDV : https://bit.ly/QUES20,2020-04-03T15:00:00CET,2020-04-03T19:00:00CET,48.42065,-2.658464
PARC  DES EXPOSITIONS,CASTRES,2020-04-02T09:30:00CET,2020-04-02T16:00:00CET,43.610535,2.263247
PARC  DES EXPOSITIONS,CASTRES,2020-04-01T09:30:00CET,2020-04-01T16:00:00CET,43.610535,2.263247
Salle de La Goducière,Trelaze,2020-04-02T10:00:00CET,2020-04-02T13:00:00CET,47.447292,-0.498808
SALLE VERGÈZE ESPACE,Vergeze,2020-04-06T14:00:00CET,2020-04-06T19:30:00CET,43.74086,4.222515
ISSY LES MOULINEAUX,Issy Les Moulineaux,2020-04-06T12:00:00CET,2020-04-06T17:00:00CET,48.821522,2.277398
Salle des Sports Vauban ,Bouchain,2020-04-03T14:00:00CET,2020-04-03T19:00:00CET,50.276916,3.326357
GRANDE HALLE,L'Union,2020-04-06T14:00:00CET,2020-04-06T19:00:00CET,43.655861,1.481024
Mairie de Bordeaux,Bordeaux,2020-04-02T14:30:00CET,2020-04-02T18:30:00CET,44.837997,-0.577702
CAGNES VAL FLEURI, CAGNES SUR MER,2020-04-03T13:00:00CET,2020-04-03T17:30:00CET,43.669113,7.165711
Salle jean Eliard,Bricquebec,2020-04-01T15:00:00CET,2020-04-01T19:00:00CET,49.475967,-1.62654
LES LILAS,Les Lilas,2020-04-03T12:00:00CET,2020-04-03T17:00:00CET,48.879917,2.418587
Etablissement Français du Sang,"",2020-04-04T13:00:00CET,2020-04-04T18:00:00CET,44.010265,1.365288
SALLE L ARROSOIR,Voreppe,2020-04-06T16:30:00CET,2020-04-06T19:45:00CET,45.291237,5.635407
MAISON DE LA VALLEE,Avon,2020-04-04T10:30:00CET,2020-04-04T16:30:00CET,48.41058,2.727445
Galerie Municipale Julio Gonzalez,Arceuil,2020-04-02T12:00:00CET,2020-04-02T17:00:00CET,48.806,2.336841
Salle Jean Nohain,Lens,2020-04-02T12:00:00CET,2020-04-02T18:00:00CET,50.433186,2.821227
DON DU SANG,Tarbes,2020-04-06T15:00:00CET,2020-04-06T18:30:00CET,43.22189,0.05334
SALLE CONDORCET,ST CHAMOND,2020-04-02T15:00:00CET,2020-04-02T18:00:00CET,45.475166,4.512706
à la Salle Coloriage,CREST,2020-04-08T08:00:00CET,2020-04-08T12:30:00CET,44.725567,5.024337
Mairie,DIGNE LES BAINS,2020-04-07T08:00:00CET,2020-04-07T12:30:00CET,44.092999,6.236284
Maison du Don,Chalon Sur Saone,2020-04-04T09:00:00CET,2020-04-04T15:30:00CET,46.777042,4.840367
Salle de l'Alto,Le Creusot,2020-04-03T15:00:00CET,2020-04-03T19:00:00CET,46.806145,4.430374
Salle Paul Eluard,MONTBARD,2020-04-01T08:30:00CET,2020-04-01T12:30:00CET,47.621429,4.333881
à la Salle Coloriage,CREST,2020-04-08T08:00:00CET,2020-04-08T14:00:00CET,44.725567,5.024337
ACCUEIL SPECIALISE,OSSUN,2020-04-07T11:00:00CET,2020-04-07T15:30:00CET,43.180145,-0.004206
Salle Polyvalente,MARMANDE,2020-04-07T09:00:00CET,2020-04-07T12:30:00CET,44.500484,0.159869
SALLE POLYVALENTE,SAINT CERE,2020-04-07T15:00:00CET,2020-04-07T19:00:00CET,44.860603,1.893741
SAINT  BENOIT,ST BENOIT,2020-04-07T15:00:00CET,2020-04-07T19:00:00CET,46.557362,0.329648
MAISON POUR TOUS,SAINT GENIES DES MOURGUES,2020-04-07T15:00:00CET,2020-04-07T19:30:00CET,43.697029,4.031013
Andrézieux-CITE DESGRANGES MAURIAC, ANDREZIEUX BOUTHEON,2020-04-07T13:00:00CET,2020-04-07T16:30:00CET,45.530975,4.269526
GYMNASE , RIOM,2020-04-07T13:30:00CET,2020-04-07T16:30:00CET,45.886784,3.116579
GARE RIVE GAUCHE,VERSAILLES,2020-04-07T14:30:00CET,2020-04-07T20:00:00CET,48.801407,2.130122
SALLE DES FETES FRANCOIS MITTERRAND,ROMILLY SUR SEINE,2020-04-07T08:45:00CET,2020-04-07T13:00:00CET,48.511833,3.724865
Salle Henneguet,MAZINGARBE,2020-04-07T14:00:00CET,2020-04-07T19:00:00CET,50.470047,2.743164
Salle de l'Arsenal ,DOUAI,2020-04-07T09:00:00CET,2020-04-07T15:00:00CET,50.375416,3.083638
Lycee Victor Louis,TALENCE,2020-04-06T09:30:00CET,2020-04-06T13:30:00CET,44.802612,-0.588054
Salles Pommier/Girard ,ST PAUL TROIS CHÂTEAUX,2020-04-06T08:00:00CET,2020-04-06T12:30:00CET,44.348679,4.768295
à la Halle ,DIEULEFIT,2020-04-06T08:30:00CET,2020-04-06T13:00:00CET,44.527756,5.067012
L'Espace de la Vallée,LA MENITRE,2020-04-06T16:00:00CET,2020-04-06T19:30:00CET,47.402817,-0.270641
HOTEL DE VILLE ,EVRY-COURCOURONNES,2020-04-06T14:30:00CET,2020-04-06T19:30:00CET,48.624191,2.429126
MAIRIE du 8è - ESPACE CITOYEN,Lyon,2020-04-02T09:00:00CET,2020-04-02T12:30:00CET,45.735214,4.872805
Halle aux Toiles,ALENCON,2020-04-04T10:00:00CET,2020-04-04T15:00:00CET,48.43214,0.087576
Salle Jacques Anquetil,NEUVILLE ST REMY,2020-04-04T08:30:00CET,2020-04-04T12:30:00CET,50.188248,3.220889
Mairie Salle des Mariages,VILLENEUVE SUR LOT,2020-04-03T08:00:00CET,2020-04-03T12:30:00CET,44.408207,0.707257
COMPAGNONS DU DEVOIR,LA ROCHELLE CEDEX 01,2020-04-03T15:00:00CET,2020-04-03T19:00:00CET,46.152981,-1.118929
Palais de la Bourse,BORDEAUX,2020-04-03T15:30:00CET,2020-04-03T19:30:00CET,44.835011,-0.587269
Palais de la Bourse,BORDEAUX,2020-04-03T10:30:00CET,2020-04-03T15:30:00CET,44.835011,-0.587269
PARC  DES EXPOSITIONS,CASTRES,2020-04-03T13:30:00CET,2020-04-03T18:30:00CET,43.610535,2.263247
PARC  DES EXPOSITIONS,CASTRES,2020-04-03T09:30:00CET,2020-04-03T13:30:00CET,43.610535,2.263247
SALLE DES FETES,SERMENTIZON,2020-04-03T16:00:00CET,2020-04-03T19:00:00CET,45.761852,3.50003
Salle de Ping Pong,ST BERTHEVIN,2020-04-03T14:30:00CET,2020-04-03T18:30:00CET,48.075954,-0.826217
,SAINT NOM LA BRETECHE,2020-04-03T15:00:00CET,2020-04-03T20:00:00CET,48.861572,2.018622
CENTRE SOCIO CULTUREL,FORT MARDYCK,2020-04-03T15:00:00CET,2020-04-03T19:00:00CET,51.029957,2.305382
SALLE FELIX ARNAUDIN,SAINT PAUL LES DAX,2020-04-02T15:30:00CET,2020-04-02T19:00:00CET,43.724934,-1.051409
SALLE POLYVALENTE,EAUZE,2020-04-02T11:00:00CET,2020-04-02T17:30:00CET,43.861454,0.102482
Palais de la Bourse,BORDEAUX,2020-04-02T16:00:00CET,2020-04-02T19:30:00CET,44.835011,-0.587269
Palais de la Bourse,BORDEAUX,2020-04-02T12:00:00CET,2020-04-02T16:00:00CET,44.835011,-0.587269
Salle des fêtes,LA ROCHEFOUCAULD,2020-04-02T15:30:00CET,2020-04-02T19:30:00CET,45.740482,0.388523
ESTER TECHNOPOLE ENSIL ENSCI,rue Atlantis,2020-04-02T10:30:00CET,2020-04-02T15:00:00CET,45.816277,1.262305
PARC  DES EXPOSITIONS,CASTRES,2020-04-02T09:30:00CET,2020-04-02T13:30:00CET,43.610535,2.263247
PARC  DES EXPOSITIONS,CASTRES,2020-04-02T13:30:00CET,2020-04-02T18:30:00CET,43.610535,2.263247
DAHER - KALISTRUT - UMP,"",2020-04-02T09:00:00CET,2020-04-02T14:00:00CET,45.176643,4.878655
SALLE DU LEVANT,FERNEY VOLTAIRE,2020-04-02T14:30:00CET,2020-04-02T19:30:00CET,46.260193,6.114311
SALLE POLYVALENTE A.LUCAS,SAINT MAURICE MONTCOURONNE,2020-04-02T16:00:00CET,2020-04-02T20:00:00CET,48.581875,2.125295
COLLEGE J-Y COUSTEAU,MERY SUR OISE,2020-04-02T14:30:00CET,2020-04-02T19:30:00CET,49.065754,2.180789
salle polyvalente,CHANTELOUP,2020-04-01T16:30:00CET,2020-04-01T19:30:00CET,46.767059,-0.523908
PARC  DES EXPOSITIONS,CASTRES,2020-04-01T09:30:00CET,2020-04-01T13:30:00CET,43.610535,2.263247
PARC  DES EXPOSITIONS,CASTRES,2020-04-01T13:30:00CET,2020-04-01T18:30:00CET,43.610535,2.263247
CAMION A L'OFFICE DE TOURISME,MONTPELLIER,2020-04-01T12:30:00CET,2020-04-01T18:00:00CET,43.61116,3.881067
maison du temps libre,LAMANON,2020-04-01T14:00:00CET,2020-04-01T18:30:00CET,43.699932,5.088644
Mairie,DIGNE LES BAINS,2020-04-01T08:00:00CET,2020-04-01T12:30:00CET,44.092999,6.236284
RESIDENCE ORLHAC,AURILLAC,2020-04-01T16:00:00CET,2020-04-01T19:00:00CET,44.934952,2.451657
SALLE NEIL ARMSTRONG,THIERS,2020-04-01T16:00:00CET,2020-04-01T19:00:00CET,45.85693,3.544496
JURAPARC,LONS-LE-SAUNIER,2020-04-01T16:00:00CET,2020-04-01T19:30:00CET,46.675728,5.541313
CENTRE DE RENCONTRE DE L'OBELISQUE,SENLIS,2020-04-01T14:00:00CET,2020-04-01T19:00:00CET,49.208393,2.568505
Centre Marcel MARTIN,FOLSCHVILLER,2020-04-01T14:30:00CET,2020-04-01T19:00:00CET,49.076481,6.686661
